tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids
1980421,2,1980421,Phasivirus,"",viruses,false,2948840.1185835632,99,99,288.1360819259584,1439,13,1404,98.5388,2520.43,10^-296.682,0.0152791,0.253836,,,16.213137652146155,184.21486822229448,920,3,920,91.3725,1126.17,10^0.08732,0.68215,11.32,,,[1980610]
1980610,1,1980421,Phasi Charoen-like phasivirus,"",viruses,false,2948840.1185835632,99,99,288.1360819259584,1439,13,1404,98.5388,2520.43,10^-296.682,0.0152791,0.253836,,,41.7913875396546,184.21486822229448,920,3,920,91.3725,1126.17,10^0.08732,0.265061,4.40162,,,
1884455,2,1884455,Anphevirus,"",viruses,false,308359.6707199277,100,100,33.6392368058103,168,3,31,99.6281,101.165,10^-51.918,,,,,0.01500932275364975,0.20023355241553747,1,,,100.0,25.0,10^-6.2,0.183969,1.08363,,,"[2230910, 2059675]"
2230910,1,1884455,Aedes anphevirus,"",viruses,false,308359.6707199277,100,100,30.835967071992773,154,3,31,99.6453,103.587,10^-53.1513,,,,,,,,,,,,,,,,,
2059675,1,1884455,Aedes aegypti anphevirus,"",viruses,false,28032.99787517668,100,100,2.8032697338175248,14,,,99.4429,75.2143,10^-38.7034,,,,,100,0.20023355241553747,1,,,100.0,25.0,10^-6.2,,,,,
7158,2,7158,Aedes,"",eukaryota,false,39149.41935446147,6.519392094570129,6.519392094570129,266.5108582650804,1331,12,883,92.9835,239.938,10^-107.081,10.6521,39.2458,,,-0.3077531990717469,18.821953927060523,94,5,89,41.8395,36.6705,10^-0.129864,133.356,372.162,,,"[7159, 7160]"
7159,1,7158,Aedes aegypti,yellow fever mosquito,eukaryota,false,39149.41935446147,22.71996559736755,22.71996559736755,264.3082891885095,1320,12,883,93.0043,241.439,10^-107.797,3.56942,11.4762,,,-0.33552585053518413,0.20023355241553747,1,,,96.0,25.0,10^-6.5,48.1197,142.819,,,
7160,1,7158,Aedes albopictus,Asian tiger mosquito,eukaryota,false,-4.039463819464824,-0.17728286359300888,-0.17728286359300888,2.2025690765709123,11,,,90.5909,66.9091,10^-24.5404,6.04264,21.6607,,,-0.26065501087072435,18.621720374644987,93,5,89,41.2169,36.8046,10^-0.0566437,61.7901,165.615,,,
308865,2,308865,Elizabethkingia,"",bacteria,false,18440.053603405937,7.211081796602819,7.211081796602819,27.632230233344174,138,3,50,99.6422,153.819,10^-79.5867,0.466715,3.76719,,,-100,0.0,0,,,0,0,10^0,0.0666213,0.533678,,,"[238, 1117645]"
238,1,308865,Elizabethkingia meningoseptica,"",bacteria,false,18440.053603405937,99,99,25.830128261604337,129,3,50,99.6172,159.465,10^-82.5085,0.0224088,0.215888,,,-100,0.0,0,,,0,0,10^0,0.00245253,0.031318,,,
